Company name,Symbol,Lot size
360ONE,NSE:360ONE-EQ,500
ABB,NSE:ABB-EQ,125
ABCAPITAL,NSE:ABCAPITAL-EQ,3100
ADANIENSOL,NSE:ADANIENSOL-EQ,675
ADANIENT,NSE:ADANIENT-EQ,300
ADANIGREEN,NSE:ADANIGREEN-EQ,600
ADANIPORTS,NSE:ADANIPORTS-EQ,475
ALKEM,NSE:ALKEM-EQ,125
AMBER,NSE:AMBER-EQ,100
AMBUJACEM,NSE:AMBUJACEM-EQ,1050
ANGELONE,NSE:ANGELONE-EQ,250
APLAPOLLO,NSE:APLAPOLLO-EQ,350
APOLLOHOSP,NSE:APOLLOHOSP-EQ,125
ASHOKLEY,NSE:ASHOKLEY-EQ,5000
ASIANPAINT,NSE:ASIANPAINT-EQ,250
ASTRAL,NSE:ASTRAL-EQ,425
AUBANK,NSE:AUBANK-EQ,1000
AUROPHARMA,NSE:AUROPHARMA-EQ,550
AXISBANK,NSE:AXISBANK-EQ,625
BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,75
BAJAJFINSV,NSE:BAJAJFINSV-EQ,500
BAJFINANCE,NSE:BAJFINANCE-EQ,750
BANDHANBNK,NSE:BANDHANBNK-EQ,3600
BANKBARODA,NSE:BANKBARODA-EQ,2925
BANKINDIA,NSE:BANKINDIA-EQ,5200
BANKNIFTY,NSE:NIFTYBANK-INDEX,35
BDL,NSE:BDL-EQ,325
BEL,NSE:BEL-EQ,2850
BHARATFORG,NSE:BHARATFORG-EQ,500
BHARTIARTL,NSE:BHARTIARTL-EQ,475
BHEL,NSE:BHEL-EQ,2625
BIOCON,NSE:BIOCON-EQ,2500
BLUESTARCO,NSE:BLUESTARCO-EQ,325
BOSCHLTD,NSE:BOSCHLTD-EQ,25
BPCL,NSE:BPCL-EQ,1975
BRITANNIA,NSE:BRITANNIA-EQ,125
BSE,NSE:BSE-EQ,375
CAMS,NSE:CAMS-EQ,150
CANBK,NSE:CANBK-EQ,6750
CDSL,NSE:CDSL-EQ,475
CGPOWER,NSE:CGPOWER-EQ,850
CHOLAFIN,NSE:CHOLAFIN-EQ,625
CIPLA,NSE:CIPLA-EQ,375
COALINDIA,NSE:COALINDIA-EQ,1350
COFORGE,NSE:COFORGE-EQ,375
COLPAL,NSE:COLPAL-EQ,225
CONCOR,NSE:CONCOR-EQ,1250
CROMPTON,NSE:CROMPTON-EQ,1800
CUMMINSIND,NSE:CUMMINSIND-EQ,200
CYIENT,NSE:CYIENT-EQ,425
DABUR,NSE:DABUR-EQ,1250
DALBHARAT,NSE:DALBHARAT-EQ,325
DELHIVERY,NSE:DELHIVERY-EQ,2075
DIVISLAB,NSE:DIVISLAB-EQ,100
DIXON,NSE:DIXON-EQ,50
