Company Name,Symbol
AMARA RAJA ENERGY MOB LTD,NSE:ARE&M-EQ
SBIAMC - SFMP6DD,NSE:SFMP6DD-MF
SBIAMC - SFMP6DR,NSE:SFMP6DR-MF
SBIAMC - SFMP6GD,NSE:SFMP6GD-MF
SBIAMC - SFMP6GR,NSE:SFMP6GR-MF
EMAMI PAPER MILLS LIMITED,NSE:EMAMIPAP-EQ
FACT LTD,NSE:FACT-EQ
GODREJ CONSUMER PRODUCTS,NSE:GODREJCP-EQ
SCHAEFFLER INDIA LIMITED,NSE:SCHAEFFLER-EQ
ORICON ENTERPRISES LTD,NSE:ORICONENT-EQ
SBI-ETF NIFTY 50,NSE:SETFNIF50-EQ
BALKRISHNA PAPER MILLS L,NSE:BALKRISHNA-EQ
SHYAM CENTURY FERROUS LTD,NSE:SHYAMCENT-EQ
ADANI ENERGY SOLUTION LTD,NSE:ADANIENSOL-EQ
MANORAMA INDUSTRIES LTD,NSE:MANORAMA-EQ
FEDERAL BANK LTD,NSE:FEDERALBNK-EQ
CONFIDENCE PETRO IND LTD.,NSE:CONFIPET-EQ
SYNGENE INTERNATIONAL LTD,NSE:SYNGENE-EQ
NGL FINE CHEM LIMITED,NSE:NGLFINE-EQ
AYM SYNTEX LIMITED,NSE:AYMSYNTEX-EQ
PRAKASH PIPES LIMITED,NSE:PPL-EQ
AARON INDUSTRIES LIMITED,NSE:AARON-EQ
RAMA STEEL TUBES LIMITED,NSE:RAMASTEEL-EQ
AURUM PROPTECH LIMITED,NSE:AURUM-EQ
RADHIKA JEWELTECH LIMITED,NSE:RADHIKAJWE-EQ
DIGICONTENT LIMITED,NSE:DGCONTENT-EQ
CSL FINANCE LIMITED,NSE:CSLFINANCE-EQ
FINOLEX CABLES LTD,NSE:FINCABLES-EQ
JAIN IRRIGATION SYSTEMS,NSE:JISLJALEQS-EQ
SHARE IND. SECURITIES LTD,NSE:SHAREINDIA-EQ
STEEL CITY SECURITIES LTD,NSE:STEELCITY-EQ
KSHITIJ POLYLINE LIMITED,NSE:KSHITIJPOL-EQ
FINOLEX INDUSTRIES LTD,NSE:FINPIPE-EQ
MUTHOOT CAP SERV LTD,NSE:MUTHOOTCAP-EQ
DYNAMIC CABLES LIMITED,NSE:DYCL-EQ
AXISAMC - AXISBNKETF,NSE:AXISBNKETF-EQ
LUPIN LIMITED,NSE:LUPIN-EQ
UNITED SPIRITS LIMITED,NSE:UNITDSPR-EQ
SATIN CREDIT NET LTD,NSE:SATIN-EQ
ARVIND SMARTSPACES LTD,NSE:ARVSMART-EQ
POWER MECH PROJECTS LTD.,NSE:POWERMECH-EQ
RAM RATNA WIRES LIMITED,NSE:RAMRAT-EQ
MOTILALAMC - MOHEALTH,NSE:MOHEALTH-EQ
UTIAMC - UTINIFTETF,NSE:UTINIFTETF-EQ
KOTAKMAMC - KOTAKCONS,NSE:CONS-EQ
UTIAMC - UTISENSETF,NSE:UTISENSETF-EQ
UFLEX LIMITED,NSE:UFLEX-EQ
SHARDA MOTOR INDS LTD,NSE:SHARDAMOTR-EQ
NAVKAR CORPORATION LTD.,NSE:NAVKARCORP-EQ
RAMA PHOSPHATES LIMITED,NSE:RAMAPHO-EQ
NIP IND ETF NIFTY BEES,NSE:NIFTYBEES-EQ
KRBL LIMITED,NSE:KRBL-EQ
MPS LIMITED,NSE:MPSLTD-EQ
MARKSANS PHARMA LIMITED,NSE:MARKSANS-EQ
TRANSPORT CORPN OF INDIA,NSE:TCI-EQ
ICICIPRAMC - ICICIMOM30,NSE:MOM30IETF-EQ
SHRE PUSH CHEM & FERT LTD,NSE:SHREEPUSHK-EQ
LOYAL TEXTILE MILLS LTD,NSE:LOYALTEX-EQ
GUJARAT GAS LIMITED,NSE:GUJGASLTD-EQ
BHARTI AIRTEL LIMITED,NSE:BHARTIARTL-EQ
HDFCAMC - HDFCNEXT50,NSE:HDFCNEXT50-EQ
HDFCAMC - HDFCNIF100,NSE:HDFCNIF100-EQ
AUTOMOTIVE STAMPINGS & AS,NSE:ASAL-EQ
OLECTRA GREENTECH LIMITED,NSE:OLECTRA-EQ
PONNIE SUGARS (ERODE) LTD,NSE:PONNIERODE-EQ
PUNJAB NATIONAL BANK,NSE:PNB-EQ
KOTAKMAMC - KOTAKMNC,NSE:MNC-EQ
BIRLASLAMC - NIFTYQLITY,NSE:NIFTYQLITY-EQ
BIRLASLAMC - MOMENTUM,NSE:MOMENTUM-EQ
SURANA TELECOM AND POW LT,NSE:SURANAT&P-EQ
ICICIPRAMC - ICICIINFRA,NSE:INFRAIETF-EQ
INDIAMART INTERMESH LTD,NSE:INDIAMART-EQ
FOSECO INDIA LTD,NSE:FOSECOIND-EQ
SPORTKING INDIA LIMITED,NSE:SPORTKING-EQ
ORACLE FIN SERV SOFT LTD.,NSE:OFSS-EQ
UNION BANK OF INDIA,NSE:UNIONBANK-EQ
APTECH LIMITED,NSE:APTECHT-EQ
ZENSAR TECHNOLOGIES  LTD,NSE:ZENSARTECH-EQ
DSPAMC - DSPSILVETF,NSE:SILVERADD-EQ
ORIENTAL AROMATICS LTD,NSE:OAL-EQ
NOIDA TOLL BRIDGE CO LTD,NSE:NOIDATOLL-EQ
NUCLEUS SOFTWARE EXPORTS,NSE:NUCLEUS-EQ
SYRMA SGS TECHNOLOGY LTD,NSE:SYRMA-EQ
CANARA BANK,NSE:CANBK-EQ
MOTILALAMC - MOQUALITY,NSE:MOQUALITY-EQ
MOTILALAMC - MOVALUE,NSE:MOVALUE-EQ
HDFCAMC - HDFC1406DD,NSE:HDFC1406DD-MF
HDFCAMC - HDFC1406DG,NSE:HDFC1406DG-MF
HDFCAMC - HDFC1406DQ,NSE:HDFC1406DQ-MF
HDFCAMC - HDFC1406RD,NSE:HDFC1406RD-MF
HDFCAMC - HDFC1406RG,NSE:HDFC1406RG-MF
HDFCAMC - HDFC1406RQ,NSE:HDFC1406RQ-MF
GABRIEL INDIA LTD,NSE:GABRIEL-EQ
DREAMFOLKS SERVICES LTD,NSE:DREAMFOLKS-EQ
GVP INFOTECH LIMITED,NSE:GVPTECH-EQ
GRM OVERSEAS LIMITED,NSE:GRMOVER-EQ
HDFCAMC - HDFCSILVER,NSE:HDFCSILVER-EQ
SBIAMC - SFMP64DD,NSE:SFMP64DD-MF
SBIAMC - SFMP64DR,NSE:SFMP64DR-MF
SBIAMC - SFMP64GD,NSE:SFMP64GD-MF
SBIAMC - SFMP64GR,NSE:SFMP64GR-MF
DHAMPUR BIO ORGANICS LTD,NSE:DBOL-EQ
GENESYS INTL CORPN LTD,NSE:GENESYS-EQ
GODREJ INDUSTRIES LTD,NSE:GODREJIND-EQ
RADAAN MEDIAWORKS (I) LTD,NSE:RADAAN-EQ
NIP IND ETF JUNIOR BEES,NSE:JUNIORBEES-EQ
DIVI S LABORATORIES LTD,NSE:DIVISLAB-EQ
TAMILNAD MERCA BANK LTD,NSE:TMB-EQ
THE STATE TRADING CORPN,NSE:STCINDIA-EQ
RADICO KHAITAN LTD,NSE:RADICO-EQ
INDO RAMA SYNTHETICS LTD,NSE:INDORAMA-EQ
MARUTI SUZUKI INDIA LTD.,NSE:MARUTI-EQ
GARWARE TECH FIBRES LTD,NSE:GARFIBRES-EQ
NIP IND ETF LIQUID BEES,NSE:LIQUIDBEES-EQ
INFOBEANS TECHNO. LTD.,NSE:INFOBEAN-EQ
SANGINITA CHEMICALS LTD,NSE:SANGINITA-EQ
ICICIPRAMC - IPRU5008,NSE:BANKIETF-EQ
DCM NOUVELLE LIMITED,NSE:DCMNVL-EQ
SATIA INDUSTRIES LIMITED,NSE:SATIA-EQ
SIRCA PAINT INDIA LIMITED,NSE:SIRCA-EQ
SECUREKLOUD TECH LIMITED,NSE:SECURKLOUD-EQ
KSOLVES INDIA LIMITED,NSE:KSOLVES-EQ
NATH BIO-GENES (I) LTD,NSE:NATHBIOGEN-EQ
AGRI-TECH (INDIA) LIMITED,NSE:AGRITECH-EQ
LIBAS CONSU PRODUCTS LTD,NSE:LIBAS-EQ
DANGEE DUMS LIMITED,NSE:DANGEE-EQ
SUMIT WOODS LIMITED,NSE:SUMIT-EQ
SHRENIK LIMITED,NSE:SHRENIK-EQ
CREATIVE NEWTECH LIMITED,NSE:CREATIVE-EQ
HARSHA ENGINEERS INT LTD,NSE:HARSHA-EQ
IDFC FIRST BANK LIMITED,NSE:IDFCFIRSTB-EQ
AXISAMC - AXISILVER,NSE:AXISILVER-EQ
INTERGLOBE AVIATION LTD,NSE:INDIGO-EQ
S H KELKAR AND CO. LTD.,NSE:SHK-EQ
VARDHAMAN ACRYLICS LTD,NSE:VARDHACRLC-EQ
UCO BANK,NSE:UCOBANK-EQ
B.A.G FILMS AND MEDIA LTD,NSE:BAGFILMS-EQ
SUVEN LIFE SCIENCES LTD,NSE:SUVEN-EQ
JINDAL STAINLESS LIMITED,NSE:JSL-EQ
NALWA SONS INVESTMENT LTD,NSE:NSIL-EQ
HDFCAMC - HDFCGROWTH,NSE:HDFCGROWTH-EQ
WELSPUN LIVING LIMITED,NSE:WELSPUNLIV-EQ
HDFCAMC - HDFCQUAL,NSE:HDFCQUAL-EQ
JAI BALAJI INDUSTRIES LTD,NSE:JAIBALAJI-EQ
HDFCAMC - HDFCVALUE,NSE:HDFCVALUE-EQ
INDRAPRASTHA GAS LTD,NSE:IGL-EQ
